"Test-Sensitivity","Test-Specificity","Test-Pos Pred Value","Test-Neg Pred Value","Test-Precision","Test-Recall","Test-F1","Test-Prevalence","Test-Detection Rate","Test-Detection Prevalence","Test-Balanced Accuracy","Test-Accuracy"
0.673469387755102,0.470588235294118,0.55,0.6,0.55,0.673469387755102,0.605504587155963,0.49,0.33,0.6,0.57202881152461,0.57
0.804347826086957,0.203703703703704,0.4625,0.55,0.4625,0.804347826086957,0.587301587301587,0.46,0.37,0.8,0.50402576489533,0.48
0.607843137254902,0.530612244897959,0.574074074074074,0.565217391304348,0.574074074074074,0.607843137254902,0.59047619047619,0.51,0.31,0.54,0.569227691076431,0.57
0.780487804878049,0.305084745762712,0.438356164383562,0.666666666666667,0.438356164383562,0.780487804878049,0.56140350877193,0.41,0.32,0.73,0.54278627532038,0.5
0.708333333333333,0.230769230769231,0.459459459459459,0.461538461538462,0.459459459459459,0.708333333333333,0.557377049180328,0.48,0.34,0.74,0.469551282051282,0.46
0.722222222222222,0.478260869565217,0.619047619047619,0.594594594594595,0.619047619047619,0.722222222222222,0.666666666666667,0.54,0.39,0.63,0.60024154589372,0.61
0.764705882352941,0.306122448979592,0.534246575342466,0.555555555555555,0.534246575342466,0.764705882352941,0.629032258064516,0.51,0.39,0.73,0.535414165666267,0.54
0.770833333333333,0.307692307692308,0.506849315068493,0.592592592592593,0.506849315068493,0.770833333333333,0.611570247933884,0.48,0.37,0.73,0.53926282051282,0.53
0.732142857142857,0.5,0.650793650793651,0.594594594594595,0.650793650793651,0.732142857142857,0.689075630252101,0.56,0.41,0.63,0.616071428571429,0.63
0.74,0.44,0.569230769230769,0.628571428571429,0.569230769230769,0.74,0.643478260869565,0.5,0.37,0.65,0.59,0.59
0.69047619047619,0.46551724137931,0.483333333333333,0.675,0.483333333333333,0.69047619047619,0.568627450980392,0.42,0.29,0.6,0.57799671592775,0.56
0.773584905660377,0.361702127659574,0.577464788732394,0.586206896551724,0.577464788732394,0.773584905660377,0.661290322580645,0.53,0.41,0.71,0.567643516659976,0.58
0.60377358490566,0.425531914893617,0.542372881355932,0.48780487804878,0.542372881355932,0.60377358490566,0.571428571428571,0.53,0.32,0.59,0.514652749899639,0.52
0.614035087719298,0.372093023255814,0.564516129032258,0.421052631578947,0.564516129032258,0.614035087719298,0.588235294117647,0.57,0.35,0.62,0.493064055487556,0.51
0.681818181818182,0.303571428571429,0.434782608695652,0.548387096774194,0.434782608695652,0.681818181818182,0.530973451327434,0.44,0.3,0.69,0.492694805194805,0.47
0.763636363636364,0.422222222222222,0.61764705882353,0.59375,0.617647058823529,0.763636363636364,0.682926829268293,0.55,0.42,0.68,0.592929292929293,0.61
0.782608695652174,0.481481481481481,0.5625,0.722222222222222,0.5625,0.782608695652174,0.654545454545455,0.46,0.36,0.64,0.632045088566828,0.62
0.673076923076923,0.458333333333333,0.573770491803279,0.564102564102564,0.573770491803279,0.673076923076923,0.619469026548673,0.52,0.35,0.61,0.565705128205128,0.57
0.763636363636364,0.466666666666667,0.636363636363636,0.617647058823529,0.636363636363636,0.763636363636364,0.694214876033058,0.55,0.42,0.66,0.615151515151515,0.63
0.56,0.54,0.549019607843137,0.551020408163265,0.549019607843137,0.56,0.554455445544555,0.5,0.28,0.51,0.55,0.55
0.777777777777778,0.239130434782609,0.545454545454546,0.478260869565217,0.545454545454545,0.777777777777778,0.641221374045801,0.54,0.42,0.77,0.508454106280193,0.53
0.755102040816326,0.392156862745098,0.544117647058823,0.625,0.544117647058823,0.755102040816326,0.632478632478632,0.49,0.37,0.68,0.573629451780712,0.57
0.857142857142857,0.454545454545455,0.666666666666667,0.714285714285714,0.666666666666667,0.857142857142857,0.75,0.56,0.48,0.72,0.655844155844156,0.68
0.763636363636364,0.511111111111111,0.65625,0.638888888888889,0.65625,0.763636363636364,0.705882352941177,0.55,0.42,0.64,0.637373737373737,0.65
0.765957446808511,0.452830188679245,0.553846153846154,0.685714285714286,0.553846153846154,0.765957446808511,0.642857142857143,0.47,0.36,0.65,0.609393817743878,0.6
0.791666666666667,0.461538461538462,0.575757575757576,0.705882352941177,0.575757575757576,0.791666666666667,0.666666666666667,0.48,0.38,0.66,0.626602564102564,0.62
0.76,0.32,0.527777777777778,0.571428571428571,0.527777777777778,0.76,0.622950819672131,0.5,0.38,0.72,0.54,0.54
0.696428571428571,0.386363636363636,0.590909090909091,0.5,0.590909090909091,0.696428571428571,0.639344262295082,0.56,0.39,0.66,0.541396103896104,0.56
0.673076923076923,0.3125,0.514705882352941,0.46875,0.514705882352941,0.673076923076923,0.583333333333333,0.52,0.35,0.68,0.492788461538462,0.5
0.8125,0.269230769230769,0.506493506493507,0.608695652173913,0.506493506493506,0.8125,0.624,0.48,0.39,0.77,0.540865384615385,0.53
0.685185185185185,0.41304347826087,0.578125,0.527777777777778,0.578125,0.685185185185185,0.627118644067797,0.54,0.37,0.64,0.549114331723027,0.56
0.72,0.52,0.6,0.65,0.6,0.72,0.654545454545455,0.5,0.36,0.6,0.62,0.62
0.696428571428571,0.409090909090909,0.6,0.514285714285714,0.6,0.696428571428571,0.644628099173554,0.56,0.39,0.65,0.55275974025974,0.57
0.661290322580645,0.447368421052632,0.661290322580645,0.447368421052632,0.661290322580645,0.661290322580645,0.661290322580645,0.62,0.41,0.62,0.554329371816638,0.58
0.704545454545455,0.392857142857143,0.476923076923077,0.628571428571429,0.476923076923077,0.704545454545455,0.568807339449541,0.44,0.31,0.65,0.548701298701299,0.53
0.729166666666667,0.326923076923077,0.5,0.566666666666667,0.5,0.729166666666667,0.593220338983051,0.48,0.35,0.7,0.528044871794872,0.52
0.673076923076923,0.520833333333333,0.603448275862069,0.595238095238095,0.603448275862069,0.673076923076923,0.636363636363636,0.52,0.35,0.58,0.596955128205128,0.6
0.78,0.52,0.619047619047619,0.702702702702703,0.619047619047619,0.78,0.690265486725664,0.5,0.39,0.63,0.65,0.65
0.784313725490196,0.326530612244898,0.547945205479452,0.592592592592593,0.547945205479452,0.784313725490196,0.645161290322581,0.51,0.4,0.73,0.555422168867547,0.56
0.678571428571429,0.454545454545455,0.612903225806452,0.526315789473684,0.612903225806452,0.678571428571429,0.644067796610169,0.56,0.38,0.62,0.566558441558442,0.58
0.673469387755102,0.352941176470588,0.5,0.529411764705882,0.5,0.673469387755102,0.573913043478261,0.49,0.33,0.66,0.513205282112845,0.51
0.877551020408163,0.333333333333333,0.558441558441558,0.739130434782609,0.558441558441558,0.877551020408163,0.682539682539683,0.49,0.43,0.77,0.605442176870748,0.6
0.75,0.283333333333333,0.410958904109589,0.62962962962963,0.410958904109589,0.75,0.530973451327434,0.4,0.3,0.73,0.516666666666667,0.47
0.69811320754717,0.425531914893617,0.578125,0.555555555555556,0.578125,0.69811320754717,0.632478632478632,0.53,0.37,0.64,0.561822561220393,0.57
0.666666666666667,0.391304347826087,0.5625,0.5,0.5625,0.666666666666667,0.610169491525424,0.54,0.36,0.64,0.528985507246377,0.54
0.678571428571429,0.409090909090909,0.59375,0.5,0.59375,0.678571428571429,0.633333333333333,0.56,0.38,0.64,0.543831168831169,0.56
0.781818181818182,0.444444444444444,0.632352941176471,0.625,0.632352941176471,0.781818181818182,0.699186991869919,0.55,0.43,0.68,0.613131313131313,0.63
0.596153846153846,0.479166666666667,0.553571428571429,0.522727272727273,0.553571428571429,0.596153846153846,0.574074074074074,0.52,0.31,0.56,0.537660256410256,0.54
0.686274509803922,0.530612244897959,0.603448275862069,0.619047619047619,0.603448275862069,0.686274509803922,0.642201834862385,0.51,0.35,0.58,0.60844337735094,0.61
0.818181818181818,0.321428571428571,0.486486486486486,0.692307692307692,0.486486486486487,0.818181818181818,0.610169491525424,0.44,0.36,0.74,0.569805194805195,0.54
0.882352941176471,0.306122448979592,0.569620253164557,0.714285714285714,0.569620253164557,0.882352941176471,0.692307692307692,0.51,0.45,0.79,0.594237695078031,0.6
0.666666666666667,0.391304347826087,0.5625,0.5,0.5625,0.666666666666667,0.610169491525424,0.54,0.36,0.64,0.528985507246377,0.54
0.760869565217391,0.314814814814815,0.486111111111111,0.607142857142857,0.486111111111111,0.760869565217391,0.593220338983051,0.46,0.35,0.72,0.537842190016103,0.52
