"Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy","Accuracy","AIC","Converged","Test Accuracy"
0.766233766233766,0.664383561643836,0.706586826347305,0.729323308270677,0.706586826347305,0.766233766233766,0.735202492211838,0.513333333333333,0.393333333333333,0.556666666666667,0.715308663938801,0.716666666666667,439.757086040435,1,0.45
0.63265306122449,0.666666666666667,0.645833333333333,0.653846153846154,0.645833333333333,0.63265306122449,0.639175257731959,0.49,0.31,0.48,0.649659863945578,0.65,446.127777200228,1,0.55
0.573426573426573,0.694267515923567,0.630769230769231,0.641176470588235,0.630769230769231,0.573426573426573,0.600732600732601,0.476666666666667,0.273333333333333,0.433333333333333,0.63384704467507,0.636666666666667,439.324999972733,1,0.47
0.677852348993289,0.662251655629139,0.664473684210526,0.675675675675676,0.664473684210526,0.677852348993289,0.67109634551495,0.496666666666667,0.336666666666667,0.506666666666667,0.670052002311214,0.67,431.221428983033,1,0.56
0.598639455782313,0.607843137254902,0.594594594594595,0.611842105263158,0.594594594594595,0.598639455782313,0.596610169491525,0.49,0.293333333333333,0.493333333333333,0.603241296518607,0.603333333333333,461.171552020977,1,0.54
0.705128205128205,0.694444444444444,0.714285714285714,0.684931506849315,0.714285714285714,0.705128205128205,0.709677419354839,0.52,0.366666666666667,0.513333333333333,0.699786324786325,0.7,414.908111914867,1,0.52
0.704697986577181,0.635761589403974,0.65625,0.685714285714286,0.65625,0.704697986577181,0.679611650485437,0.496666666666667,0.35,0.533333333333333,0.670229787990577,0.67,440.498036857527,1,0.6
0.644295302013423,0.589403973509934,0.607594936708861,0.626760563380282,0.607594936708861,0.644295302013423,0.625407166123778,0.496666666666667,0.32,0.526666666666667,0.616849637761678,0.616666666666667,467.640485107723,1,0.44
0.729032258064516,0.56551724137931,0.642045454545455,0.661290322580645,0.642045454545455,0.729032258064516,0.682779456193353,0.516666666666667,0.376666666666667,0.586666666666667,0.647274749721913,0.65,452.378538622725,1,0.48
0.710691823899371,0.560283687943262,0.645714285714286,0.632,0.645714285714286,0.710691823899371,0.676646706586826,0.53,0.376666666666667,0.583333333333333,0.635487755921317,0.64,451.363349247723,1,0.41
0.711409395973154,0.649006622516556,0.666666666666667,0.695035460992908,0.666666666666667,0.711409395973154,0.688311688311688,0.496666666666667,0.353333333333333,0.53,0.680208009244855,0.68,425.116937464171,1,0.56
0.67741935483871,0.6,0.644171779141104,0.635036496350365,0.644171779141104,0.67741935483871,0.660377358490566,0.516666666666667,0.35,0.543333333333333,0.638709677419355,0.64,449.133078795301,1,0.47
0.733766233766234,0.60958904109589,0.664705882352941,0.684615384615385,0.664705882352941,0.733766233766234,0.697530864197531,0.513333333333333,0.376666666666667,0.566666666666667,0.671677637431062,0.673333333333333,447.024864605871,1,0.49
0.63265306122449,0.633986928104575,0.624161073825503,0.642384105960265,0.624161073825503,0.63265306122449,0.628378378378378,0.49,0.31,0.496666666666667,0.633319994664532,0.633333333333333,458.246016853779,1,0.51
0.623287671232877,0.662337662337662,0.636363636363636,0.64968152866242,0.636363636363636,0.623287671232877,0.629757785467128,0.486666666666667,0.303333333333333,0.476666666666667,0.64281266678527,0.643333333333333,450.147173349551,1,0.55
0.642857142857143,0.541095890410959,0.596385542168675,0.58955223880597,0.596385542168675,0.642857142857143,0.61875,0.513333333333333,0.33,0.553333333333333,0.591976516634051,0.593333333333333,457.992263781365,1,0.49
0.700636942675159,0.552447552447552,0.632183908045977,0.626984126984127,0.632183908045977,0.700636942675159,0.664652567975831,0.523333333333333,0.366666666666667,0.58,0.626542247561356,0.63,457.145769525714,1,0.5
0.736842105263158,0.668918918918919,0.695652173913044,0.712230215827338,0.695652173913043,0.736842105263158,0.715654952076677,0.506666666666667,0.373333333333333,0.536666666666667,0.702880512091038,0.703333333333333,432.677859381672,1,0.55
0.723684210526316,0.581081081081081,0.63953488372093,0.671875,0.63953488372093,0.723684210526316,0.679012345679012,0.506666666666667,0.366666666666667,0.573333333333333,0.652382645803698,0.653333333333333,458.981087890672,1,0.48
0.644736842105263,0.601351351351351,0.624203821656051,0.622377622377622,0.624203821656051,0.644736842105263,0.634304207119741,0.506666666666667,0.326666666666667,0.523333333333333,0.623044096728307,0.623333333333333,456.970184927169,1,0.6
0.682432432432432,0.671052631578947,0.668874172185431,0.684563758389262,0.66887417218543,0.682432432432432,0.675585284280936,0.493333333333333,0.336666666666667,0.503333333333333,0.67674253200569,0.676666666666667,438.313692977722,1,0.45
0.721518987341772,0.563380281690141,0.647727272727273,0.645161290322581,0.647727272727273,0.721518987341772,0.682634730538922,0.526666666666667,0.38,0.586666666666667,0.642449634515956,0.646666666666667,456.728152311416,1,0.48
0.701298701298701,0.602739726027397,0.650602409638554,0.656716417910448,0.650602409638554,0.701298701298701,0.675,0.513333333333333,0.36,0.553333333333333,0.652019213663049,0.653333333333333,457.309059424256,1,0.5
0.58041958041958,0.681528662420382,0.62406015037594,0.640718562874251,0.62406015037594,0.58041958041958,0.601449275362319,0.476666666666667,0.276666666666667,0.443333333333333,0.630974121419981,0.633333333333333,442.635591450903,1,0.58
0.625850340136054,0.686274509803922,0.657142857142857,0.65625,0.657142857142857,0.625850340136054,0.641114982578397,0.49,0.306666666666667,0.466666666666667,0.656062424969988,0.656666666666667,448.851994419191,1,0.44
0.730263157894737,0.587837837837838,0.645348837209302,0.6796875,0.645348837209302,0.730263157894737,0.685185185185185,0.506666666666667,0.37,0.573333333333333,0.659050497866287,0.66,448.419560746694,1,0.48
