"Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy","Accuracy","AIC","Converged","Test Accuracy"
1,1,1,1,1,1,1,0.45,0.45,0.45,1,1,184.0000004569,0,0.72
1,1,1,1,1,1,1,0.526666666666667,0.526666666666667,0.526666666666667,1,1,184.000000492606,0,0.75
1,1,1,1,1,1,1,0.48,0.48,0.48,1,1,184.000000271038,0,0.81
1,1,1,1,1,1,1,0.513333333333333,0.513333333333333,0.513333333333333,1,1,184.000001056975,0,0.73
1,1,1,1,1,1,1,0.503333333333333,0.503333333333333,0.503333333333333,1,1,184.000002812993,0,0.7
0.867088607594937,0.894366197183099,0.901315789473684,0.858108108108108,0.901315789473684,0.867088607594937,0.883870967741935,0.526666666666667,0.456666666666667,0.506666666666667,0.880727402389018,0.88,2779.14304401644,0,0.7
0.926666666666667,0.913333333333333,0.914473684210526,0.925675675675676,0.914473684210526,0.926666666666667,0.920529801324503,0.5,0.463333333333333,0.506666666666667,0.92,0.92,311.015805678469,1,0.71
0.902777777777778,0.923076923076923,0.915492957746479,0.911392405063291,0.915492957746479,0.902777777777778,0.909090909090909,0.48,0.433333333333333,0.473333333333333,0.912927350427351,0.913333333333333,302.946172246936,1,0.7
0.893333333333333,0.88,0.881578947368421,0.891891891891892,0.881578947368421,0.893333333333333,0.887417218543046,0.5,0.446666666666667,0.506666666666667,0.886666666666667,0.886666666666667,2634.96843045997,0,0.74
0.923611111111111,0.884615384615385,0.880794701986755,0.926174496644295,0.880794701986755,0.923611111111111,0.901694915254237,0.48,0.443333333333333,0.503333333333333,0.904113247863248,0.903333333333333,2274.5318965688,1,0.7
0.931972789115646,0.92156862745098,0.919463087248322,0.933774834437086,0.919463087248322,0.931972789115646,0.925675675675676,0.49,0.456666666666667,0.496666666666667,0.926770708283313,0.926666666666667,282.307664972844,1,0.77
0.895104895104895,0.917197452229299,0.907801418439716,0.90566037735849,0.907801418439716,0.895104895104895,0.901408450704225,0.476666666666667,0.426666666666667,0.47,0.906151173667097,0.906666666666667,334.549941775462,1,0.75
0.958904109589041,0.935064935064935,0.933333333333333,0.96,0.933333333333333,0.958904109589041,0.945945945945946,0.486666666666667,0.466666666666667,0.5,0.946984522326988,0.946666666666667,281.739671288934,1,0.71
0.941558441558442,0.952054794520548,0.953947368421053,0.939189189189189,0.953947368421053,0.941558441558442,0.947712418300654,0.513333333333333,0.483333333333333,0.506666666666667,0.946806618039495,0.946666666666667,290.296091034111,1,0.65
