"Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy","Accuracy","AIC","Converged"
0.795,0.805,0.803030303030303,0.797029702970297,0.803030303030303,0.795,0.798994974874372,0.5,0.3975,0.495,0.8,0.8,429.958596909357,1
0.845,0.81,0.816425120772947,0.839378238341969,0.816425120772947,0.845,0.830466830466831,0.5,0.4225,0.5175,0.8275,0.8275,418.862191636663,1
