"Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy","Accuracy","AIC","Converged","Test Accuracy"
0.66,0.706666666666667,0.692307692307692,0.67515923566879,0.692307692307692,0.66,0.675767918088737,0.5,0.33,0.476666666666667,0.683333333333333,0.683333333333333,428.609766028854,1,0.54
0.608108108108108,0.736842105263158,0.692307692307692,0.658823529411765,0.692307692307692,0.608108108108108,0.647482014388489,0.493333333333333,0.3,0.433333333333333,0.672475106685633,0.673333333333333,440.638116558771,1,0.53
0.705882352941177,0.659863945578231,0.683544303797468,0.683098591549296,0.683544303797468,0.705882352941177,0.694533762057878,0.51,0.36,0.526666666666667,0.682873149259704,0.683333333333333,462.981631999177,1,0.52
0.627450980392157,0.707482993197279,0.690647482014388,0.645962732919255,0.690647482014389,0.627450980392157,0.657534246575342,0.51,0.32,0.463333333333333,0.667466986794718,0.666666666666667,439.386692193582,1,0.62
0.646666666666667,0.68,0.668965517241379,0.658064516129032,0.668965517241379,0.646666666666667,0.657627118644068,0.5,0.323333333333333,0.483333333333333,0.663333333333333,0.663333333333333,443.070040941613,1,0.5
0.61744966442953,0.721854304635762,0.686567164179104,0.656626506024096,0.686567164179104,0.61744966442953,0.65017667844523,0.496666666666667,0.306666666666667,0.446666666666667,0.669651984532646,0.67,434.386739112453,1,0.44
0.724358974358974,0.659722222222222,0.697530864197531,0.688405797101449,0.697530864197531,0.724358974358974,0.710691823899371,0.52,0.376666666666667,0.54,0.692040598290598,0.693333333333333,445.013126828459,1,0.56
0.668918918918919,0.677631578947368,0.668918918918919,0.677631578947368,0.668918918918919,0.668918918918919,0.668918918918919,0.493333333333333,0.33,0.493333333333333,0.673275248933144,0.673333333333333,440.669013099791,1,0.61
0.619047619047619,0.69281045751634,0.659420289855073,0.654320987654321,0.659420289855073,0.619047619047619,0.63859649122807,0.49,0.303333333333333,0.46,0.655929038281979,0.656666666666667,437.48292176093,1,0.49
0.673333333333333,0.686666666666667,0.682432432432432,0.677631578947368,0.682432432432432,0.673333333333333,0.677852348993289,0.5,0.336666666666667,0.493333333333333,0.68,0.68,432.012300398013,1,0.48
