"Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy","Accuracy","AIC","Converged"
0.67,0.71,0.697916666666667,0.682692307692308,0.697916666666667,0.67,0.683673469387755,0.5,0.335,0.48,0.69,0.69,562.467861766074,1
0.64,0.735,0.707182320441989,0.671232876712329,0.707182320441989,0.64,0.671916010498688,0.5,0.32,0.4525,0.6875,0.6875,566.016687209472,1
0.6,0.685,0.655737704918033,0.631336405529954,0.655737704918033,0.6,0.626631853785901,0.5,0.3,0.4575,0.6425,0.6425,576.204115615033,1
0.62,0.655,0.642487046632124,0.632850241545894,0.642487046632124,0.62,0.631043256997455,0.5,0.31,0.4825,0.6375,0.6375,570.845867208978,1
0.705,0.67,0.681159420289855,0.694300518134715,0.681159420289855,0.705,0.692874692874693,0.5,0.3525,0.5175,0.6875,0.6875,564.044396770815,1
0.655,0.665,0.661616161616162,0.658415841584158,0.661616161616162,0.655,0.658291457286432,0.5,0.3275,0.495,0.66,0.66,584.274661688489,1
0.61,0.69,0.66304347826087,0.638888888888889,0.66304347826087,0.61,0.635416666666667,0.5,0.305,0.46,0.65,0.65,591.702709698215,1
0.63,0.65,0.642857142857143,0.637254901960784,0.642857142857143,0.63,0.636363636363636,0.5,0.315,0.49,0.64,0.64,576.565329529523,1
0.605,0.61,0.608040201005025,0.606965174129353,0.608040201005025,0.605,0.606516290726817,0.5,0.3025,0.4975,0.6075,0.6075,575.065038789827,1
0.63,0.705,0.681081081081081,0.655813953488372,0.681081081081081,0.63,0.654545454545455,0.5,0.315,0.4625,0.6675,0.6675,571.01276000742,1
0.63,0.705,0.681081081081081,0.655813953488372,0.681081081081081,0.63,0.654545454545455,0.5,0.315,0.4625,0.6675,0.6675,571.644659042908,1
0.675,0.68,0.678391959798995,0.676616915422886,0.678391959798995,0.675,0.676691729323308,0.5,0.3375,0.4975,0.6775,0.6775,573.489872190106,1
0.655,0.71,0.693121693121693,0.672985781990521,0.693121693121693,0.655,0.673521850899743,0.5,0.3275,0.4725,0.6825,0.6825,561.822791810117,1
0.63,0.645,0.639593908629442,0.635467980295566,0.639593908629442,0.63,0.634760705289673,0.5,0.315,0.4925,0.6375,0.6375,583.056217863028,1
0.67,0.645,0.653658536585366,0.661538461538462,0.653658536585366,0.67,0.661728395061728,0.5,0.335,0.5125,0.6575,0.6575,573.928247822842,1
0.68,0.71,0.701030927835051,0.689320388349515,0.701030927835051,0.68,0.690355329949239,0.5,0.34,0.485,0.695,0.695,555.933304798234,1
0.63,0.7,0.67741935483871,0.654205607476636,0.67741935483871,0.63,0.652849740932642,0.5,0.315,0.465,0.665,0.665,579.865517035668,1
0.675,0.67,0.671641791044776,0.673366834170854,0.671641791044776,0.675,0.673316708229426,0.5,0.3375,0.5025,0.6725,0.6725,552.072321098953,1
0.62,0.68,0.659574468085106,0.641509433962264,0.659574468085106,0.62,0.639175257731959,0.5,0.31,0.47,0.65,0.65,582.632200978716,1
0.645,0.66,0.654822335025381,0.650246305418719,0.654822335025381,0.645,0.649874055415617,0.5,0.3225,0.4925,0.6525,0.6525,600.077073834167,1
0.58,0.69,0.651685393258427,0.621621621621622,0.651685393258427,0.58,0.613756613756614,0.5,0.29,0.445,0.635,0.635,575.525526331628,1
0.625,0.7,0.675675675675676,0.651162790697674,0.675675675675676,0.625,0.649350649350649,0.5,0.3125,0.4625,0.6625,0.6625,561.411325710294,1
0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.5,0.335,0.5,0.67,0.67,553.461323663867,1
0.615,0.705,0.675824175824176,0.646788990825688,0.675824175824176,0.615,0.643979057591623,0.5,0.3075,0.455,0.66,0.66,568.868724806669,1
0.675,0.725,0.710526315789474,0.690476190476191,0.710526315789474,0.675,0.692307692307692,0.5,0.3375,0.475,0.7,0.7,557.807803866066,1
0.675,0.735,0.718085106382979,0.693396226415094,0.718085106382979,0.675,0.695876288659794,0.5,0.3375,0.47,0.705,0.705,538.09932662023,1
0.665,0.705,0.692708333333333,0.677884615384615,0.692708333333333,0.665,0.678571428571428,0.5,0.3325,0.48,0.685,0.685,541.639884514444,1
0.62,0.695,0.67027027027027,0.646511627906977,0.67027027027027,0.62,0.644155844155844,0.5,0.31,0.4625,0.6575,0.6575,580.43168138279,1
0.685,0.68,0.681592039800995,0.683417085427136,0.681592039800995,0.685,0.683291770573566,0.5,0.3425,0.5025,0.6825,0.6825,576.26996207522,1
0.665,0.66,0.661691542288557,0.663316582914573,0.661691542288557,0.665,0.663341645885287,0.5,0.3325,0.5025,0.6625,0.6625,560.705314865568,1
0.66,0.715,0.698412698412698,0.677725118483412,0.698412698412698,0.66,0.67866323907455,0.5,0.33,0.4725,0.6875,0.6875,575.861946037901,1
0.64,0.655,0.649746192893401,0.645320197044335,0.649746192893401,0.64,0.644836272040302,0.5,0.32,0.4925,0.6475,0.6475,592.041036280662,1
0.66,0.71,0.694736842105263,0.676190476190476,0.694736842105263,0.66,0.676923076923077,0.5,0.33,0.475,0.685,0.685,563.210433403364,1
0.665,0.67,0.668341708542714,0.666666666666667,0.668341708542714,0.665,0.666666666666667,0.5,0.3325,0.4975,0.6675,0.6675,572.110314386912,1
0.625,0.705,0.679347826086957,0.652777777777778,0.679347826086957,0.625,0.651041666666667,0.5,0.3125,0.46,0.665,0.665,566.430293266387,1
0.64,0.655,0.649746192893401,0.645320197044335,0.649746192893401,0.64,0.644836272040302,0.5,0.32,0.4925,0.6475,0.6475,560.787751110195,1
0.665,0.66,0.661691542288557,0.663316582914573,0.661691542288557,0.665,0.663341645885287,0.5,0.3325,0.5025,0.6625,0.6625,572.535966525013,1
0.585,0.655,0.629032258064516,0.61214953271028,0.629032258064516,0.585,0.606217616580311,0.5,0.2925,0.465,0.62,0.62,576.365357104033,1
0.59,0.62,0.608247422680412,0.601941747572815,0.608247422680412,0.59,0.598984771573604,0.5,0.295,0.485,0.605,0.605,584.018898237846,1
0.65,0.67,0.663265306122449,0.656862745098039,0.663265306122449,0.65,0.656565656565657,0.5,0.325,0.49,0.66,0.66,567.193981777092,1
0.63,0.705,0.681081081081081,0.655813953488372,0.681081081081081,0.63,0.654545454545455,0.5,0.315,0.4625,0.6675,0.6675,571.172730727741,1
0.62,0.67,0.652631578947368,0.638095238095238,0.652631578947368,0.62,0.635897435897436,0.5,0.31,0.475,0.645,0.645,566.452887158926,1
0.625,0.73,0.698324022346369,0.660633484162896,0.698324022346369,0.625,0.659630606860158,0.5,0.3125,0.4475,0.6775,0.6775,568.257947766735,1
0.595,0.67,0.643243243243243,0.623255813953488,0.643243243243243,0.595,0.618181818181818,0.5,0.2975,0.4625,0.6325,0.6325,566.66719559575,1
0.605,0.66,0.64021164021164,0.625592417061611,0.64021164021164,0.605,0.622107969151671,0.5,0.3025,0.4725,0.6325,0.6325,571.718149287625,1
0.64,0.675,0.663212435233161,0.652173913043478,0.663212435233161,0.64,0.651399491094148,0.5,0.32,0.4825,0.6575,0.6575,582.574394949887,1
0.665,0.715,0.7,0.680952380952381,0.7,0.665,0.682051282051282,0.5,0.3325,0.475,0.69,0.69,562.259436378669,1
0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.5,0.335,0.5,0.67,0.67,574.083621898948,1
0.68,0.665,0.669950738916256,0.6751269035533,0.669950738916256,0.68,0.674937965260546,0.5,0.34,0.5075,0.6725,0.6725,559.145354059948,1
0.645,0.715,0.693548387096774,0.668224299065421,0.693548387096774,0.645,0.66839378238342,0.5,0.3225,0.465,0.68,0.68,554.955101722485,1
0.665,0.705,0.692708333333333,0.677884615384615,0.692708333333333,0.665,0.678571428571428,0.5,0.3325,0.48,0.685,0.685,568.25215470104,1
0.69,0.71,0.704081632653061,0.696078431372549,0.704081632653061,0.69,0.696969696969697,0.5,0.345,0.49,0.7,0.7,542.869910985196,1
0.645,0.705,0.686170212765957,0.665094339622641,0.686170212765957,0.645,0.664948453608247,0.5,0.3225,0.47,0.675,0.675,545.642327717474,1
0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.5,0.3375,0.5,0.675,0.675,566.229381158772,1
0.69,0.655,0.666666666666667,0.678756476683938,0.666666666666667,0.69,0.678132678132678,0.5,0.345,0.5175,0.6725,0.6725,567.41101153152,1
0.66,0.665,0.663316582914573,0.661691542288557,0.663316582914573,0.66,0.661654135338346,0.5,0.33,0.4975,0.6625,0.6625,564.935603761591,1
0.69,0.745,0.73015873015873,0.706161137440758,0.73015873015873,0.69,0.709511568123393,0.5,0.345,0.4725,0.7175,0.7175,537.403495987019,1
0.7,0.69,0.693069306930693,0.696969696969697,0.693069306930693,0.7,0.696517412935323,0.5,0.35,0.505,0.695,0.695,553.472818168373,1
0.695,0.71,0.705583756345178,0.699507389162561,0.705583756345178,0.695,0.700251889168766,0.5,0.3475,0.4925,0.7025,0.7025,539.947398872235,1
0.6,0.695,0.662983425414365,0.634703196347032,0.662983425414365,0.6,0.62992125984252,0.5,0.3,0.4525,0.6475,0.6475,566.566472954626,1
0.665,0.68,0.6751269035533,0.669950738916256,0.6751269035533,0.665,0.670025188916877,0.5,0.3325,0.4925,0.6725,0.6725,561.598055507692,1
0.63,0.71,0.684782608695652,0.657407407407407,0.684782608695652,0.63,0.65625,0.5,0.315,0.46,0.67,0.67,573.073374003383,1
0.68,0.73,0.715789473684211,0.695238095238095,0.715789473684211,0.68,0.697435897435897,0.5,0.34,0.475,0.705,0.705,549.54916901743,1
0.63,0.68,0.663157894736842,0.647619047619048,0.663157894736842,0.63,0.646153846153846,0.5,0.315,0.475,0.655,0.655,560.873325493226,1
0.58,0.605,0.594871794871795,0.590243902439024,0.594871794871795,0.58,0.587341772151899,0.5,0.29,0.4875,0.5925,0.5925,593.639531960583,1
0.66,0.695,0.683937823834197,0.671497584541063,0.683937823834197,0.66,0.67175572519084,0.5,0.33,0.4825,0.6775,0.6775,570.397527968716,1
0.61,0.635,0.625641025641026,0.619512195121951,0.625641025641026,0.61,0.617721518987342,0.5,0.305,0.4875,0.6225,0.6225,568.955309433355,1
0.58,0.685,0.64804469273743,0.619909502262443,0.64804469273743,0.58,0.612137203166227,0.5,0.29,0.4475,0.6325,0.6325,556.563553098691,1
0.585,0.68,0.646408839779006,0.621004566210046,0.646408839779006,0.585,0.614173228346457,0.5,0.2925,0.4525,0.6325,0.6325,595.823690340195,1
0.655,0.695,0.682291666666667,0.668269230769231,0.682291666666667,0.655,0.668367346938775,0.5,0.3275,0.48,0.675,0.675,561.380254511737,1
0.7,0.75,0.736842105263158,0.714285714285714,0.736842105263158,0.7,0.717948717948718,0.5,0.35,0.475,0.725,0.725,545.454942973111,1
0.6,0.685,0.655737704918033,0.631336405529954,0.655737704918033,0.6,0.626631853785901,0.5,0.3,0.4575,0.6425,0.6425,582.996614994735,1
0.675,0.695,0.688775510204082,0.681372549019608,0.688775510204082,0.675,0.681818181818182,0.5,0.3375,0.49,0.685,0.685,560.779449145663,1
0.63,0.7,0.67741935483871,0.654205607476636,0.67741935483871,0.63,0.652849740932642,0.5,0.315,0.465,0.665,0.665,550.810776163641,1
0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.5,0.325,0.5,0.65,0.65,573.775714709395,1
0.635,0.67,0.658031088082902,0.647342995169082,0.658031088082902,0.635,0.646310432569975,0.5,0.3175,0.4825,0.6525,0.6525,579.440841385941,1
0.61,0.69,0.66304347826087,0.638888888888889,0.66304347826087,0.61,0.635416666666667,0.5,0.305,0.46,0.65,0.65,578.602964398992,1
0.69,0.62,0.644859813084112,0.666666666666667,0.644859813084112,0.69,0.666666666666667,0.5,0.345,0.535,0.655,0.655,585.614078380265,1
0.605,0.715,0.679775280898876,0.644144144144144,0.679775280898876,0.605,0.64021164021164,0.5,0.3025,0.445,0.66,0.66,566.409861584732,1
